,AMT,AMT,AMT,AMT,AMT,CCI,CCI,CCI,CCI,CCI,EQIX,EQIX,EQIX,EQIX,EQIX,PLD,PLD,PLD,PLD,PLD,PSA,PSA,PSA,PSA,PSA
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 00:00:00-05:00,143.11,143.22,140.91,141.105,1391810.0,110.53,110.96,108.47,108.94,1334047.0,448.15,453.75,442.84,447.01,400078.0,64.59,64.84,63.9,64.01,953328.0,210.05,210.17,205.58,206.39,438869.0
2018-01-03 00:00:00-05:00,141.05,142.5,140.86,141.57,1210542.0,108.75,109.5,108.08,108.45,1594698.0,449.14,452.56,446.65,448.98,310583.0,63.96,64.15,63.61,63.86,1146023.0,206.35,207.66,205.74,206.66,310832.0
2018-01-04 00:00:00-05:00,141.44,141.96,139.58,139.63,1037487.0,108.29,108.76,107.1,107.22,1749615.0,449.33,450.56,447.43,447.99,312839.0,63.8,63.96,62.62,62.63,1398724.0,205.9,207.01,202.57,203.14,538056.0
2018-01-05 00:00:00-05:00,140.23,140.7,139.59,140.49,1363577.0,107.43,108.41,107.26,108.02,1347393.0,450.15,451.0299,443.24,444.24,203379.0,62.92,63.02,62.48,62.56,1744092.0,203.33,204.04,201.71,201.9,295159.0
2018-01-08 00:00:00-05:00,140.66,143.24,140.66,142.03,1350838.0,108.1,108.73,107.72,108.34,986214.0,445.52,461.36,442.76,458.21,293196.0,62.44,63.32,62.32,63.29,1514395.0,202.09,204.15,201.94,203.49,519214.0
2018-01-09 00:00:00-05:00,142.1,142.25,140.86,140.98,955255.0,108.3,108.67,107.63,107.69,636742.0,459.89,461.9999,448.69,450.66,275856.0,63.49,63.97,62.53,62.66,1688543.0,204.07,204.2,200.91,201.14,469572.0
2018-01-10 00:00:00-05:00,140.41,140.6,136.03,137.58,2561205.0,105.95,106.53,103.34,104.91,3993531.0,447.76,450.26,442.2601,442.97,476975.0,62.4,62.4,61.42,61.47,2128206.0,199.67,200.07,195.3,196.12,827747.0
2018-01-11 00:00:00-05:00,138.0,138.01,134.51,134.95,2513520.0,104.95,105.19,102.6,103.69,3656735.0,443.0,452.28,429.98,430.31,413343.0,61.63,61.93,61.11,61.66,1534316.0,196.8,197.37,195.01,196.13,744444.0
2018-01-12 00:00:00-05:00,135.39,135.5,132.54,133.01,2630819.0,104.05,104.07,103.07,103.57,1886849.0,431.08,436.49,425.65,435.95,827205.0,61.71,62.06,61.37,61.86,1589588.0,196.02,196.5,193.4,193.54,682972.0
2018-01-16 00:00:00-05:00,133.24,137.9999,133.24,135.62,2211025.0,103.98,106.77,103.98,105.33,2138720.0,436.8,452.61,436.49,448.11,571611.0,62.24,63.24,62.0,62.14,1632362.0,194.2,198.425,193.52,193.72,553347.0
2018-01-17 00:00:00-05:00,136.12,137.1599,135.55,136.62,1448778.0,105.4,106.99,105.05,106.04,1974096.0,448.87,452.49,439.16,441.91,419064.0,62.43,62.99,62.06,62.84,1662097.0,194.8,197.02,194.44,195.67,474334.0
2018-01-18 00:00:00-05:00,136.58,136.67,134.72,135.17,2560921.0,105.71,106.32,105.2,106.11,1275423.0,440.1,445.0848,431.72,432.34,601533.0,62.76,62.76,61.4,61.45,2528717.0,195.12,195.6799,192.6,193.25,890761.0
2018-01-19 00:00:00-05:00,135.9,137.68,134.75,137.6,2115631.0,106.69,107.65,105.67,107.34,2244338.0,433.66,441.09,428.42,432.78,447941.0,61.52,61.78,61.09,61.77,2605729.0,193.91,194.5,192.7,193.53,413393.0
2018-01-22 00:00:00-05:00,137.59,139.22,137.41,139.22,1324146.0,107.5,108.37,106.89,108.29,2321392.0,432.7,439.54,430.09,430.96,457361.0,61.9,63.16,61.89,63.1,2435347.0,194.14,194.62,192.51,193.78,649403.0
2018-01-23 00:00:00-05:00,139.51,141.44,139.2,141.17,2027975.0,108.57,110.44,108.4762,110.34,2238263.0,431.08,445.485,429.48,442.02,516338.0,63.39,64.98,63.13,64.96,2840730.0,194.0,198.549,193.56,198.07,615769.0
2018-01-24 00:00:00-05:00,141.1,142.6799,141.01,141.75,2354655.0,110.48,110.91,109.35,109.69,1701455.0,442.78,445.73,438.85,441.28,434147.0,64.96,64.99,64.15,64.51,2510321.0,197.82,198.01,194.31,194.93,380763.0
2018-01-25 00:00:00-05:00,142.46,143.06,141.5,142.99,1787660.0,109.38,110.22,107.16,108.61,3731938.0,441.46,444.78,433.0,439.18,729058.0,64.76,64.76,63.76,64.2,1154381.0,194.0,194.78,190.82,192.57,600714.0
2018-01-26 00:00:00-05:00,143.12,145.135,142.8355,145.12,1163803.0,110.35,110.87,108.75,110.62,2233446.0,435.0,442.68,432.01,441.55,933269.0,64.35,64.5,63.83,64.38,1083280.0,193.27,193.675,190.7,192.82,613682.0
2018-01-29 00:00:00-05:00,144.9,145.99,143.68,144.33,2470896.0,110.52,111.15,108.84,109.82,2607692.0,446.98,449.9,434.47,435.16,454470.0,64.25,64.25,63.34,63.38,967675.0,192.5,192.93,190.15,192.5,836976.0
